"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048630","skeletal muscle tissue growth","2/13","10/13056",0.2,200.861538461538,19.9600629269537,4.10013209190859e-05,0.0192706208319704,0.011696166283234,"Tll2/Mstn",2
"GO:0016114","terpenoid biosynthetic process","2/13","17/13056",0.117647058823529,118.153846153846,15.2591462727524,0.000123428711012922,0.0290057470880367,0.0176048319392116,"Hmgcs2/Cyp1a1",2
"GO:0061450","trophoblast cell migration","2/13","21/13056",0.0952380952380952,95.6483516483516,13.7037223740334,0.000190160636336088,0.0297918330259871,0.0180819412095017,"Mmp12/Mstn",2
"GO:0033574","response to testosterone","2/13","28/13056",0.0714285714285714,71.7362637362637,11.8291523345347,0.000340945784211797,0.0303423252636122,0.0184160585586538,"Hmgcs2/Mstn",2
"GO:0008299","isoprenoid biosynthetic process","2/13","29/13056",0.0689655172413793,69.262599469496,11.6179895592009,0.000365995376998809,0.0303423252636122,0.0184160585586538,"Hmgcs2/Cyp1a1",2
"GO:0006516","glycoprotein catabolic process","2/13","30/13056",0.0666666666666667,66.9538461538462,11.4173833824272,0.000391917690796956,0.0303423252636122,0.0184160585586538,"Mmp12/Adamts4",2
"GO:0044703","multi-organism reproductive process","3/13","163/13056",0.0184049079754601,18.4841906559698,7.09142822442716,0.000498373666312314,0.0303423252636122,0.0184160585586538,"Cyp1a1/Mmp12/Mstn",3
"GO:0044706","multi-multicellular organism process","3/13","165/13056",0.0181818181818182,18.2601398601399,7.04391887448105,0.000516465110869995,0.0303423252636122,0.0184160585586538,"Cyp1a1/Mmp12/Mstn",3
"GO:1901654","response to ketone","3/13","185/13056",0.0162162162162162,16.2860706860707,6.61069240077207,0.000721032867030177,0.0376539386115759,0.0228537902883249,"Hmgcs2/Cyp1a1/Mstn",3
"GO:0044283","small molecule biosynthetic process","4/13","487/13056",0.0082135523613963,8.24893381772232,5.14706460270957,0.00104506048226079,0.0491178426662573,0.0298117253360711,"Hmgcs2/Cyp1a1/Pah/Angptl4",4
