"cell_type","gene","pct_expressed","avg_expr","n_cells"
"B cell","Angptl4",2.4390243902439,0.0381547729174974,41
"B cell","Cdh5",2.4390243902439,0.0418861644458015,41
"B cell","Sdc1",4.8780487804878,0.201566400720363,41
"B cell","Sdc2",17.0731707317073,0.61373715712329,41
"B cell","Sdc3",7.31707317073171,0.197246012861628,41
"B cell","Sdc4",78.0487804878049,3.96232656870425,41
"Kupffer cell","Angptl4",8.19672131147541,0.219773602516734,61
"Kupffer cell","Cdh5",63.9344262295082,2.75258059253206,61
"Kupffer cell","Sdc1",6.55737704918033,0.100009981638703,61
"Kupffer cell","Sdc2",13.1147540983607,0.485880695225267,61
"Kupffer cell","Sdc3",80.327868852459,5.0001477042437,61
"Kupffer cell","Sdc4",47.5409836065574,1.39339404267321,61
"endothelial cell of hepatic sinusoid","Angptl4",1.0989010989011,0.0173672327901374,182
"endothelial cell of hepatic sinusoid","Cdh5",98.3516483516484,5.54434693657078,182
"endothelial cell of hepatic sinusoid","Sdc1",9.89010989010989,0.299329738555216,182
"endothelial cell of hepatic sinusoid","Sdc2",2.74725274725275,0.103986116161397,182
"endothelial cell of hepatic sinusoid","Sdc3",42.3076923076923,1.85029816079704,182
"endothelial cell of hepatic sinusoid","Sdc4",50.5494505494505,1.48898396486181,182
"hepatocyte","Angptl4",61.1253196930946,2.63509121475572,391
"hepatocyte","Cdh5",6.1381074168798,0.105810933675671,391
"hepatocyte","Sdc1",68.2864450127877,3.13641807492987,391
"hepatocyte","Sdc2",69.0537084398977,3.30260561464786,391
"hepatocyte","Sdc3",3.32480818414322,0.0397918810949992,391
"hepatocyte","Sdc4",91.8158567774936,5.48143158664622,391
"natural killer cell","Angptl4",5.12820512820513,0.305586739498408,39
"natural killer cell","Cdh5",10.2564102564103,0.280777639777562,39
"natural killer cell","Sdc1",10.2564102564103,0.256315013402347,39
"natural killer cell","Sdc2",0,0,39
"natural killer cell","Sdc3",5.12820512820513,0.168391783588578,39
"natural killer cell","Sdc4",38.4615384615385,0.76790167006952,39
